id;ime;link;tip_aplikacije;cena;znižanje;datum_izdaje;izdajatelj;založnik;ocene;žanri;št_dosežkov;opis
1942280;Brotato;https://store.steampowered.com/app/1942280/Brotato;Game;4,99€;No discount;23 Jun, 2023;Blobfish;Blobfish;('Overwhelmingly Positive', '74,411', '97%');('Action', 'Casual', 'Indie', 'RPG');83;Brotato is a top-down arena shooter roguelite where you play a potato wielding up to 6 weapons at a time to fight off hordes of aliens. Choose from a variety of traits and items to create unique builds and survive until help arrives.
1677770;The Case of the Golden Idol;https://store.steampowered.com/app/1677770/The_Case_of_the_Golden_Idol;Game;17,99€;No discount;13 Oct, 2022;Color Gray Games;Playstack;('Overwhelmingly Positive', '6,115', '98%');('Adventure', 'Indie');17;A new kind of detective game that allows you to think and investigate freely. Discover clues surrounding 12 strange and gruesome deaths and build your own theory. Pick your suspect, deduce the motive, unmask the awful truth.
2570630;20 Small Mazes;https://store.steampowered.com/app/2570630/20_Small_Mazes;Game;Free;No discount;16 Feb, 2024;FLEB;FLEB;('Overwhelmingly Positive', '5,280', '98%');('Adventure', 'Casual', 'Indie');1;This is a puzzle game with twenty small mazes. They're good mazes, though.
1713610;Purrgatory;https://store.steampowered.com/app/1713610/Purrgatory;Game;Free;No discount;22 Aug, 2021;Niv (Darvin Heo);Niv (Darvin Heo);('Overwhelmingly Positive', '4,115', '99%');('Adventure', 'Casual', 'Free To Play', 'Indie');No achievements;A slice-of-death visual novel about making friends, cracking cat puns, and waiting for eternity to pass.
1507970;Word Game: Episode 0;https://store.steampowered.com/app/1507970/Word_Game_Episode_0;Game;Free;No discount;14 Jan, 2021;Team9;Team9;('Overwhelmingly Positive', '4,514', '98%');('Adventure', 'Indie', 'RPG', 'Strategy');No achievements;Word game is literally a game of words. Player controls "I" to find clues between lines, delete words to change the meaning of sentences, or shift words to rewrite facts. “I” must be wise and brave enough complete the mission of words. May the best "I” win!
1969080;A Building Full of Cats;https://store.steampowered.com/app/1969080/A_Building_Full_of_Cats;Game;1,95€;('20%', '1,56€');7 Jul, 2022;Devcats;Devcats;('Overwhelmingly Positive', '3,301', '98%');('Casual',);23;A Building Full of Cats is a hidden object game where you need to pet all the cats in the building. Don't leave any cats behind!
1369320;Virtual Cottage;https://store.steampowered.com/app/1369320/Virtual_Cottage;Game;Free;No discount;7 Oct, 2020;DU&I;DU&I;('Overwhelmingly Positive', '9,527', '97%');('Casual', 'Indie', 'Simulation', 'Free To Play');8;Virtual Cottage gives you a comfy place to rest and be productive without any distractions. Open the game, set yourself a goal and enjoy the atmosphere.
1388770;Cruelty Squad;https://store.steampowered.com/app/1388770/Cruelty_Squad;Game;16,79€;No discount;15 Jun, 2021;Consumer Softproducts;Consumer Softproducts;('Overwhelmingly Positive', '16,700', '97%');('Action', 'Indie', 'Simulation');38;An immersive power fantasy simulator with tactical stealth elements set in a sewage infused garbage world
2212330;Your Only Move Is HUSTLE;https://store.steampowered.com/app/2212330/Your_Only_Move_Is_HUSTLE;Game;4,99€;No discount;2 Feb, 2023;Ivy Sly;Ivy Sly;('Overwhelmingly Positive', '20,359', '96%');('Action', 'Indie', 'Simulation', 'Strategy');22;Master your technique, execute flashy combos, and outsmart opponents across the world, frame-by-frame. Slow down the clock to fine-tune your fighting style in this innovative, turn-based combat simulator. Pulverize your friends and choreograph spectacular fight scenes. No training mode required.
2771670;Psychopomp;https://store.steampowered.com/app/2771670/Psychopomp;Game;Free;No discount;30 Jan, 2024;Fading Club;Fading Club;('Overwhelmingly Positive', '3,469', '98%');('Adventure', 'Indie', 'Free To Play');10;Your entire life has been a lie. There are catacombs under every home and building, stretching down for miles. Something calls you deeper into the labyrinth. Delve into the depths, and discover the monstrosities below.
